PHP Warning:  Module "gmp" is already loaded in Unknown on line 0
  PHP Warning:  Module "gmp" is already loaded in Unknown on line 0

   INFO  Server running on [http://0.0.0.0:8888].  

  Press Ctrl+C to stop the server

PHP Warning:  Module "gmp" is already loaded in Unknown on line 0
  PHP Warning:  Module "gmp" is already loaded in Unknown on line 0

   INFO  Server running on [http://0.0.0.0:8888].  

  Press Ctrl+C to stop the server

  2025-02-16 06:40:07 /api/user .................................. ~ 500.50ms
  2025-02-16 06:40:07 /favicon.ico ..................................... ~ 1s
  2025-02-16 06:40:27 /api/user .................................. ~ 500.73ms
  2025-02-16 06:40:27 /favicon.ico ..................................... ~ 1s
  2025-02-16 06:40:29 /api/user .................................... ~ 0.09ms
  2025-02-16 06:40:29 /favicon.ico ..................................... ~ 1s
  2025-02-16 06:40:34 /api/user .................................. ~ 500.37ms
  2025-02-16 06:40:34 /favicon.ico ..................................... ~ 1s
  2025-02-16 06:40:51 .............................................. ~ 1m 16s
  2025-02-16 06:42:08 ............................................... ~ 1m 2s
  2025-02-16 06:43:19 /api/user-info ............................... ~ 0.13ms
  2025-02-16 06:43:20 /api/user-info ............................... ~ 0.09ms
  2025-02-16 06:43:20 /api/user-info ............................... ~ 0.09ms
  2025-02-16 06:43:20 /api/user-info ............................... ~ 0.03ms
  2025-02-16 06:43:27 /api/user-info ............................... ~ 0.09ms
  2025-02-16 06:43:27 /api/user-info ............................. ~ 500.39ms
  2025-02-16 06:43:28 /api/user-info ............................... ~ 0.09ms
  2025-02-16 06:43:28 /api/user-info ............................. ~ 500.33ms
  2025-02-16 06:43:35 /api/user-info ............................... ~ 0.11ms
  2025-02-16 06:43:35 /api/user-info ............................... ~ 0.09ms
  2025-02-16 06:43:36 /api/user-info ............................... ~ 0.08ms
  2025-02-16 06:43:36 /api/user-info ............................... ~ 0.01ms
  2025-02-16 06:43:38 /api/regulator ............................. ~ 500.46ms
  2025-02-16 06:43:38 /api/question .............................. ~ 500.74ms
  2025-02-16 06:43:38 /api/regulator ................................... ~ 1s
  2025-02-16 06:43:39 /api/question .................................... ~ 1s
  2025-02-16 06:43:40 /api/frameworks ............................ ~ 500.38ms
  2025-02-16 06:43:41 /api/frameworks .............................. ~ 0.09ms
  2025-02-16 06:43:41 /api/control ................................. ~ 0.02ms
  2025-02-16 06:43:41 /api/control ................................. ~ 0.10ms
  2025-02-16 06:43:42 /api/user .................................... ~ 0.08ms
  2025-02-16 06:43:42 /api/user .................................... ~ 0.09ms
  2025-02-16 06:43:43 /api/user-info .................................. ~ 39s
  2025-02-16 06:44:23 /api/user-info ............................. ~ 500.40ms
  2025-02-16 06:44:24 /api/user-info ............................... ~ 0.03ms
  2025-02-16 06:44:24 /api/user-info ............................... ~ 0.10ms
  2025-02-16 06:44:26 /api/framework-install ....................... ~ 0.09ms
  2025-02-16 06:44:26 /api/framework-install ..................... ~ 500.39ms
  2025-02-16 06:44:30 /api/install-framework .......................... ~ 18s
  [Sun Feb 16 06:44:49 2025] PHP Deprecated:  Optional parameter $parentId declared before required parameter $frameworkId is implicitly treated as a required parameter in /home/pointlogservice-test/htdocs/BackEndKitTest/database/seeders/NCAOTCC1_2022Seeder.php on line 2912
  2025-02-16 06:44:49 /api/install-framework ..................... ~ 500.47ms
  2025-02-16 06:44:50 /api/framework-install ....................... ~ 0.10ms
  2025-02-16 06:44:50 /api/framework-install ....................... ~ 0.13ms
  2025-02-16 06:44:55 /api/user-info ............................... ~ 0.12ms
  2025-02-16 06:44:55 /api/user-info ............................... ~ 0.10ms
  2025-02-16 06:44:56 /api/user-info ............................... ~ 0.08ms
  2025-02-16 06:44:56 /api/user-info ............................... ~ 0.03ms
  2025-02-16 06:44:58 /api/question ................................ ~ 0.11ms
  2025-02-16 06:44:58 /api/regulator ............................... ~ 0.38ms
  2025-02-16 06:44:58 /api/question .............................. ~ 500.44ms
  2025-02-16 06:44:58 /api/regulator ............................. ~ 500.67ms
  2025-02-16 06:44:59 /api/frameworks ............................ ~ 500.49ms
  2025-02-16 06:44:59 /api/frameworks ............................ ~ 500.75ms
  2025-02-16 06:45:00 /api/control ................................. ~ 0.02ms
  2025-02-16 06:45:00 /api/control ..................................... ~ 1s
  2025-02-16 06:45:00 /api/user ........................................ ~ 1s
  2025-02-16 06:45:04 /api/user .................................... ~ 0.09ms
  2025-02-16 06:46:50 /api/user-info ................................... ~ 2s
  2025-02-16 06:46:51 /api/user-info ................................... ~ 3s
  2025-02-16 06:46:54 /api/user-info ............................... ~ 0.09ms
  2025-02-16 06:46:54 /api/user-info ................................... ~ 1s
  2025-02-16 06:46:58 /api/regulator ............................. ~ 500.40ms
  2025-02-16 06:46:58 /api/question .................................... ~ 1s
  2025-02-16 06:47:00 /api/regulator ............................. ~ 500.42ms
  2025-02-16 06:47:00 /api/question .............................. ~ 500.74ms
  2025-02-16 06:47:01 /api/frameworks ............................ ~ 500.44ms
  2025-02-16 06:47:03 /api/frameworks ............................ ~ 500.38ms
  2025-02-16 06:47:05 /api/control ................................. ~ 0.10ms
  2025-02-16 06:47:05 /api/control ..................................... ~ 1s
  2025-02-16 06:47:08 /api/user .................................. ~ 500.49ms
  2025-02-16 06:47:08 /api/user .................................... ~ 0.03ms
  2025-02-16 06:47:26 /api/install-framework ....................... ~ 0.14ms
  [Sun Feb 16 06:47:27 2025] PHP Deprecated:  Optional parameter $parentId declared before required parameter $frameworkId is implicitly treated as a required parameter in /home/pointlogservice-test/htdocs/BackEndKitTest/database/seeders/NCAECC_1_2018Seeder.php on line 5073
  2025-02-16 06:47:26 /api/install-framework ..................... ~ 500.48ms
  2025-02-16 06:47:27 /api/framework-install ....................... ~ 0.02ms
  2025-02-16 06:47:28 /api/framework-install ....................... ~ 0.09ms
  2025-02-16 06:47:31 /api/user-info ............................... ~ 0.11ms
  2025-02-16 06:47:31 /api/user-info ............................... ~ 0.02ms
  2025-02-16 06:47:32 /api/user-info ............................... ~ 0.09ms
  2025-02-16 06:47:32 /api/user-info ............................... ~ 0.10ms
  2025-02-16 06:47:35 /api/regulator ............................. ~ 500.45ms
  2025-02-16 06:47:35 /api/question .............................. ~ 500.73ms
  2025-02-16 06:47:35 /api/regulator ................................... ~ 4s
  2025-02-16 06:47:39 /api/question .............................. ~ 500.92ms
  2025-02-16 06:47:43 /api/frameworks .................................. ~ 1s
  2025-02-16 06:47:45 /api/frameworks .............................. ~ 0.09ms
  2025-02-16 06:47:46 /api/control ............................... ~ 323.19ms
PHP Warning:  Module "gmp" is already loaded in Unknown on line 0
  PHP Warning:  Module "gmp" is already loaded in Unknown on line 0

   INFO  Server running on [http://0.0.0.0:8888].  

  Press Ctrl+C to stop the server

  2025-02-17 08:57:50 /api/question ................................ ~ 0.16ms
  2025-02-17 08:57:50 /favicon.ico ..................................... ~ 1s
  2025-02-17 08:59:21 /api/user-info ............................... ~ 0.16ms
  2025-02-17 08:59:21 /api/user-info ............................... ~ 0.12ms
  2025-02-17 08:59:22 /api/user-info ............................... ~ 0.04ms
  2025-02-17 08:59:22 /api/user-info ............................... ~ 0.17ms
  2025-02-17 08:59:27 /api/user-info ............................... ~ 0.94ms
  2025-02-17 08:59:27 /api/user-info ............................... ~ 0.14ms
  2025-02-17 08:59:28 /api/user-info ............................... ~ 0.11ms
  2025-02-17 08:59:28 /api/user-info ............................... ~ 0.02ms
  2025-02-17 08:59:31 /api/regulator ............................... ~ 0.10ms
  2025-02-17 08:59:31 /api/question ................................ ~ 0.28ms
  2025-02-17 08:59:32 /api/question ................................ ~ 0.02ms
  2025-02-17 08:59:32 /api/regulator ............................... ~ 0.27ms
  2025-02-17 08:59:32 /api/frameworks .............................. ~ 0.12ms
  2025-02-17 08:59:32 /api/frameworks .............................. ~ 0.02ms
  2025-02-17 08:59:32 /api/control ................................. ~ 0.10ms
  2025-02-17 08:59:32 /api/control ................................. ~ 0.02ms
  2025-02-17 08:59:33 /api/user .................................. ~ 500.36ms
  2025-02-17 08:59:33 /api/user .................................... ~ 0.14ms
  2025-02-17 09:00:26 /api/question ................................ ~ 0.13ms
  2025-02-17 09:00:26 /favicon.ico ............................... ~ 500.81ms
  2025-02-17 09:00:34 /api/question ................................ ~ 0.10ms
  2025-02-17 09:00:35 /api/question ................................ ~ 0.02ms
  2025-02-17 09:00:42 /api/question ................................ ~ 0.12ms
  2025-02-17 09:00:42 /favicon.ico ..................................... ~ 1s
  2025-02-17 09:00:44 /api/question ................................ ~ 0.14ms
  2025-02-17 09:00:45 /api/question ................................ ~ 0.03ms
  2025-02-17 09:00:46 /api/question ................................ ~ 0.09ms
  2025-02-17 09:00:46 /api/question ................................ ~ 0.46ms
  2025-02-17 09:00:46 /api/question ................................ ~ 0.12ms
  2025-02-17 09:00:46 /api/question ................................ ~ 0.12ms
  2025-02-17 09:00:47 /api/question ................................ ~ 0.13ms
  2025-02-17 09:00:47 /api/question ................................ ~ 0.06ms
  2025-02-17 09:04:24 /api/question ................................ ~ 0.13ms
  2025-02-17 09:04:24 .............................................. ~ 0.41ms
  2025-02-17 09:04:25 /favicon.ico ................................. ~ 0.12ms
  2025-02-17 09:31:33 .............................................. ~ 0.16ms
  2025-02-17 09:47:10 / ............................................ ~ 0.14ms
  2025-02-17 09:48:02 / .......................................... ~ 500.53ms
  2025-02-17 10:15:04 /api/user .................................... ~ 0.29ms
  2025-02-17 10:15:04 /favicon.ico ............................... ~ 500.47ms
  2025-02-17 10:18:38 /api/assessment .............................. ~ 0.12ms
  2025-02-17 10:18:38 /favicon.ico ................................. ~ 0.02ms
  2025-02-17 10:25:37 /api/regulator ............................... ~ 0.11ms
  2025-02-17 10:25:37 /api/question ................................ ~ 0.39ms
  2025-02-17 10:25:37 /api/frameworks .............................. ~ 0.03ms
  2025-02-17 10:25:38 /api/control ............................... ~ 500.41ms
  2025-02-17 10:25:38 /api/user .................................... ~ 0.03ms
  2025-02-17 10:25:51 /api/regulator ............................... ~ 0.12ms
  2025-02-17 10:25:51 /api/question ................................ ~ 0.29ms
  2025-02-17 10:25:51 /api/frameworks .............................. ~ 0.15ms
  2025-02-17 10:25:51 /api/control ................................. ~ 0.02ms
  2025-02-17 10:25:51 /api/user .................................... ~ 0.10ms
  2025-02-17 10:26:42 /api/framework-install ....................... ~ 0.09ms
  2025-02-17 10:26:51 /api/install-framework ....................... ~ 0.12ms
  [Mon Feb 17 10:26:51 2025] PHP Deprecated:  Optional parameter $parentId declared before required parameter $frameworkId is implicitly treated as a required parameter in /home/pointlogservice-test/htdocs/BackEndKitTest/database/seeders/ISO27001Seeder.php on line 2231
  2025-02-17 10:26:51 /api/install-framework ..................... ~ 500.62ms
  2025-02-17 10:26:51 /api/framework-install ....................... ~ 0.02ms
  2025-02-17 10:26:57 /api/regulator ............................... ~ 0.14ms
  2025-02-17 10:26:57 /api/question ................................ ~ 0.45ms
  2025-02-17 10:26:57 /api/frameworks .............................. ~ 0.13ms
  2025-02-17 10:26:57 /api/control ............................... ~ 500.43ms
